Slice	X	Y	AREA
0	0	0	NP
1	68	73	166
2	68	77	146
3	60	81	170
4	53	85	172
5	52	88	175
6	55	88	154
7	57	88	153
8	65	88	171
9	69	89	155
10	73	86	169
11	74	85	190
12	72	87	160
13	70	80	177
14	69	68	121
15	66	54	68
15	68	63	35	f
16	67	47	111
17	69	40	143
18	68	33	153
19	67	31	168
20	70	32	155
21	72	26	168
22	73	23	170
23	74	24	171
24	74	23	173
25	77	18	183
26	75	20	165
27	73	19	151
28	70	20	174
29	65	19	175
30	70	25	160
31	76	21	174
32	80	18	170
33	97	15	171
34	104	15	183
35	108	18	171
36	111	14	169
37	113	15	184
38	114	16	166
39	111	15	172
40	107	18	171
41	110	21	137
42	112	23	112
42	117	34	39	f
43	118	34	156
44	120	43	169
45	122	48	166
46	120	58	168
47	118	66	175
48	116	71	181
49	117	72	170
50	119	76	176
51	121	85	152
52	116	87	168
53	106	90	157
54	102	91	121
55	99	92	69
55	87	92	64	f
56	79	89	169
57	74	85	188
58	70	79	194
59	67	75	187
60	69	75	177
61	70	73	175
62	69	75	179
63	67	73	181
64	67	73	188
65	69	77	162
66	67	72	160
67	69	76	154
68	66	81	167
69	54	85	175
70	54	87	173
71	57	87	151
72	60	88	157
73	64	91	159
74	72	90	162
75	78	87	162
76	80	88	157
77	75	85	168
78	71	75	176
79	70	68	117
80	67	54	71
80	68	63	43	f
81	66	46	97
82	69	28	156
83	74	23	173
84	76	21	177
85	72	22	159
86	64	19	170
87	58	18	177
88	61	19	141
89	61	20	140
90	62	20	139
91	65	19	121
92	72	16	162
93	82	15	166
94	93	14	171
95	103	13	178
96	115	13	183
97	114	13	185
98	107	13	165
99	110	18	175
100	113	21	145
101	113	21	136
102	113	21	145
103	112	20	152
104	109	17	164
105	100	21	172
106	95	20	157
107	95	21	158
108	98	20	146
109	97	20	154
110	94	18	175
111	93	18	186
112	99	20	148
113	99	20	147
114	104	19	149
115	107	19	157
116	113	24	139
117	113	23	154
118	115	17	164
119	118	17	161
120	114	19	151
121	107	18	160
122	95	19	164
123	94	19	151
124	94	19	151
125	95	19	154
126	100	19	115
127	102	20	114
128	105	20	167
129	105	21	164
130	112	24	103
130	118	34	45	f
131	120	37	148
132	121	49	167
133	120	61	170
134	120	70	169
135	121	83	159
136	120	79	136
137	120	78	137
138	119	73	155
139	118	75	142
140	118	83	157
141	119	85	163
142	107	91	154
143	101	91	113
144	87	91	115
145	73	87	162
146	67	82	165
147	66	75	172
148	66	76	161
149	67	82	158
150	57	87	178
151	59	87	144
152	59	85	122
153	67	86	160
154	75	85	170
155	83	85	168
156	79	86	143
157	77	86	122
158	76	85	118
159	72	83	169
160	67	69	130
161	66	49	104
162	65	32	130
163	61	24	159
164	51	17	157
165	44	17	166
166	32	19	86
167	32	19	NP
168	26	18	33
169	26	18	30
170	26	18	NP
171	26	18	NP
172	26	18	NP
173	19	34	41
174	16	37	119
175	15	45	156
176	17	65	158
177	23	79	158
178	26	86	127
179	27	86	103
180	27	86	84
181	31	85	61
181	42	86	60	f
182	31	86	50
182	41	86	36	f
183	44	87	91
184	52	85	170
185	64	80	183
186	67	78	144
187	67	73	166
188	66	73	144
189	68	71	173
190	68	71	161
191	66	74	156
192	65	72	169
193	67	75	161
194	69	76	158
195	69	76	157
196	67	73	162
197	66	71	150
198	67	68	111
199	66	51	98
200	66	34	148
201	69	26	161
202	74	21	167
203	76	20	166
204	76	20	155
205	70	19	156
206	58	17	146
207	59	16	145
208	58	17	139
209	61	17	141
210	62	18	130
211	66	24	164
212	70	36	113
213	72	48	96
214	70	50	99
215	69	49	107
216	69	43	72
217	68	42	73
218	68	42	67
219	67	40	121
220	70	33	130
221	73	25	160
222	78	20	156
223	85	18	163
224	98	15	163
225	106	13	179
226	114	14	171
227	116	13	175
228	117	13	166
229	116	15	152
230	121	21	105
231	122	24	75
231	121	33	51	f
232	122	38	151
233	123	54	168
234	122	68	170
235	122	84	159
236	120	86	141
237	112	91	157
238	102	90	122
239	87	90	62
239	98	90	54	f
240	77	91	160
241	55	92	170
242	53	91	168
243	53	92	171
244	53	91	174
245	52	92	159
246	53	91	175
247	53	91	160
248	56	91	149
249	55	92	158
250	54	92	183
251	53	91	184
252	52	88	176
253	54	88	151
254	55	87	158
255	55	89	156
256	60	82	170
257	67	73	171
258	68	68	131
259	66	51	96
260	66	35	128
261	63	26	140
262	65	23	134
263	77	16	166
264	87	14	165
265	98	13	185
266	112	13	180
267	116	14	170
268	113	14	154
269	109	15	137
270	106	19	141
271	100	18	158
272	94	16	152
273	93	19	140
274	93	18	143
275	93	19	143
276	93	19	148
277	97	17	127
278	99	17	155
279	113	23	117
279	118	32	32	f
280	117	32	145
281	120	43	168
282	122	60	170
283	122	77	156
284	121	84	147
285	110	90	161
286	105	91	139
287	105	90	138
288	99	90	73
288	87	93	32	f
289	82	92	150
290	69	92	159
291	55	91	162
292	53	90	168
293	52	90	162
294	56	91	155
295	55	91	165
296	54	91	164
297	53	91	160
298	51	90	165
299	51	88	161
300	52	88	165
301	50	88	161
302	57	92	127
303	58	91	128
304	59	92	112
305	59	91	122
306	59	91	128
307	59	91	125
308	59	91	130
309	59	91	132
310	59	91	123
311	59	89	147
312	63	83	176
313	69	71	166
314	68	69	146
315	68	64	64
315	66	55	46	f
316	67	43	109
317	68	30	149
318	69	30	144
319	68	29	140
320	66	28	133
321	59	23	162
322	60	23	159
323	66	28	113
324	71	24	165
325	74	19	159
326	81	18	158
327	81	17	155
328	84	16	174
329	87	15	166
330	96	17	158
331	102	18	166
332	105	18	144
333	104	15	157
334	107	15	178
335	115	13	171
336	112	14	168
337	113	19	167
338	116	22	134
339	115	21	117
340	116	21	131
341	115	22	123
342	116	21	136
343	116	22	127
344	114	20	113
345	115	18	130
346	116	16	157
347	114	17	144
348	111	18	135
349	108	18	155
350	104	17	160
351	93	18	160
352	94	18	154
353	93	15	159
354	91	16	157
355	92	16	166
356	94	19	144
357	101	15	183
358	111	14	163
359	117	13	152
360	116	14	142
361	113	14	139
362	108	16	125
363	107	14	123
364	105	16	152
365	101	15	169
366	94	13	166
367	95	17	171
368	93	18	152
369	93	18	162
370	96	16	154
371	101	17	167
372	110	21	155
373	118	29	135
374	120	37	146
375	123	63	166
376	123	75	169
377	122	86	141
378	121	87	147
379	119	85	153
380	107	88	165
381	102	88	118
382	99	89	72
382	88	91	48	f
383	72	89	160
384	65	86	154
385	66	84	155
386	67	83	162
387	66	77	167
388	64	74	152
389	66	70	135
390	67	69	134
391	67	68	125
392	65	53	88
393	67	34	152
394	69	28	143
395	73	22	141
396	69	21	164
397	63	16	168
398	63	16	173
399	65	19	150
400	64	20	164
401	64	20	144
402	64	19	157
403	65	19	157
404	68	19	160
405	72	17	177
406	82	15	150
407	98	14	171
408	109	14	171
409	115	12	161
410	115	14	161
411	116	14	162
412	112	15	139
413	110	15	133
414	106	18	132
415	113	25	147
416	118	37	146
417	121	52	166
418	123	69	170
419	122	84	153
420	120	88	137
421	118	86	150
422	106	90	158
423	102	90	115
424	100	90	99
424	89	88	30	f
425	81	87	159
426	68	81	157
427	67	73	161
428	67	74	153
429	68	79	143
430	65	81	171
431	58	85	162
432	51	89	166
433	52	89	159
434	52	88	159
435	52	87	155
436	52	86	160
437	52	86	157
438	54	87	151
439	51	89	173
440	51	89	182
441	52	88	156
442	54	88	161
443	54	89	150
444	52	90	171
445	56	86	157
446	60	87	159
447	67	92	175
448	65	90	151
449	69	81	166
450	70	69	140
451	69	66	113
452	66	48	116
453	69	31	153
454	69	29	142
455	75	23	154
456	89	13	158
457	90	14	158
458	105	13	174
459	114	13	175
460	114	15	164
461	116	19	158
462	118	22	131
463	119	22	108
464	119	21	109
465	116	22	141
466	110	21	168
467	94	21	163
468	95	21	150
469	96	21	149
470	94	17	173
471	93	17	174
472	94	18	162
473	97	20	149
474	95	21	150
475	95	21	145
476	94	21	149
477	98	21	136
478	102	21	119
479	105	20	134
480	107	22	152
481	106	20	144
482	109	21	168
483	113	23	147
484	112	20	152
485	116	16	166
486	115	16	168
487	115	16	176
488	111	17	164
489	112	22	137
490	116	24	96
491	117	23	103
491	122	34	53	f
492	122	37	137
493	122	46	165
494	120	53	164
495	117	64	174
496	117	67	157
497	118	74	163
498	122	83	135
499	121	86	146
500	117	88	158
501	103	90	123
502	102	90	108
503	83	91	153
504	74	91	147
505	76	91	145
506	74	91	155
507	75	91	155
508	77	89	151
509	77	89	149
510	77	89	147
511	77	89	156
512	77	89	158
513	77	89	153
514	77	89	149
515	77	90	161
516	78	90	159
517	72	84	177
518	70	73	181
519	70	68	132
520	66	54	69
520	68	63	39	f
521	67	53	106
522	67	45	135
523	72	27	167
524	74	22	157
525	76	19	174
526	76	20	174
527	75	20	158
528	68	18	175
529	60	16	163
530	43	18	160
531	30	18	108
532	18	15	149
533	19	16	147
534	23	17	91
535	19	19	38
536	15	34	53
537	18	35	77
538	19	38	141
539	21	45	165
540	21	44	157
541	20	43	149
542	18	55	159
543	20	70	167
544	21	78	156
545	21	77	165
546	24	81	135
547	26	81	93
548	28	84	102
549	27	83	93
550	27	83	90
551	27	83	96
552	27	84	96
553	43	89	108
554	46	88	160
555	60	83	172
556	67	79	162
557	66	74	148
558	67	72	149
559	67	75	136
560	67	75	137
561	66	73	159
562	67	76	142
563	67	79	134
564	67	79	123
565	69	81	135
566	68	77	173
567	66	69	140
568	67	51	120
569	66	39	143
570	65	27	123
571	56	19	156
572	52	20	132
573	44	19	138
574	34	19	117
575	31	17	143
576	30	17	138
577	25	18	107
578	19	19	57
579	20	19	40
580	23	18	37
581	23	17	40
582	23	17	51
583	23	17	NP
584	13	21	32
585	16	17	102
586	16	15	127
587	17	18	109
588	16	18	118
589	16	18	106
590	16	18	NP
591	29	17	103
592	38	16	164
593	42	16	153
594	42	16	148
595	43	17	152
596	45	18	126
597	44	17	157
598	44	16	147
599	39	19	152
600	34	21	82
601	34	21	NP
602	34	21	NP
603	23	18	30
604	23	17	55
605	25	16	65
605	32	23	36	f
606	34	20	139
607	41	18	169
608	44	16	182
609	44	17	165
610	43	17	162
611	38	17	139
612	38	17	144
613	32	17	103
614	32	17	NP
615	15	37	131
616	17	42	145
617	19	52	160
618	21	65	156
619	23	81	159
620	24	86	147
621	27	86	89
622	29	86	77
622	42	89	41	f
623	29	87	77
623	40	85	30	f
624	42	85	73
624	31	87	44	f
625	31	88	48
625	40	86	40	f
626	42	87	63
626	31	87	42	f
627	54	89	158
628	63	90	156
629	69	85	152
630	68	81	159
631	66	73	150
632	65	72	150
633	67	77	129
634	63	80	155
635	66	81	147
636	65	81	156
637	62	82	192
638	55	84	178
639	53	85	181
640	54	84	173
641	53	84	175
642	53	85	171
643	53	84	166
644	53	84	165
645	52	84	159
646	56	84	142
647	54	88	184
648	53	88	177
649	52	88	178
650	53	87	178
651	59	87	165
652	61	86	156
653	65	85	158
654	69	84	152
655	68	79	161
656	68	69	139
657	68	54	63
657	68	64	60	f
658	66	45	114
659	65	33	119
660	65	29	127
661	66	29	115
662	69	27	139
663	72	22	153
664	84	16	166
665	90	16	151
666	93	17	174
667	98	18	166
668	98	15	150
669	101	15	175
670	102	16	161
671	110	17	167
672	108	15	163
673	106	14	158
674	108	16	163
675	114	21	151
676	117	28	138
677	118	36	152
678	116	44	169
679	117	56	171
680	119	69	167
681	121	86	145
682	122	84	140
683	121	83	141
684	115	86	164
685	103	89	130
686	99	89	65
686	88	87	38	f
687	83	88	153
688	74	90	167
689	55	91	160
690	54	92	164
691	55	92	148
692	57	91	159
693	55	88	148
694	52	87	180
695	51	87	178
696	51	87	171
697	51	87	168
698	53	90	142
699	59	84	152
700	66	77	165
701	68	69	133
702	67	66	98
703	68	42	140
704	69	34	160
705	78	20	164
706	76	20	142
707	70	19	167
708	62	16	166
709	59	17	140
710	51	19	135
711	38	19	136
712	27	16	110
713	19	18	133
714	23	17	56
715	23	16	63
716	24	16	55
717	23	17	43
718	19	36	80
719	19	48	163
720	20	57	169
721	22	61	158
722	21	72	162
723	24	86	154
724	25	85	125
725	26	84	73
726	26	84	78
727	28	86	74
728	28	86	89
729	29	85	76
729	42	88	37	f
730	44	89	117
731	57	90	160
732	64	87	173
733	68	83	168
734	68	80	157
735	66	72	163
736	66	72	153
737	67	72	144
738	67	69	134
739	66	70	143
740	67	67	117
741	68	64	72
742	70	45	120
743	70	39	132
744	67	32	145
745	60	22	154
746	57	21	157
747	43	20	150
748	36	20	115
749	19	15	152
750	22	16	133
751	18	18	87
752	17	19	57
753	17	19	70
754	17	19	47
755	19	36	96
756	20	47	159
757	21	53	147
758	20	66	160
759	20	70	164
760	21	71	168
761	23	78	172
762	28	87	119
763	28	87	92
764	29	88	78
764	41	88	43	f
765	42	85	66
765	30	87	55	f
766	42	85	88
766	32	89	43	f
767	47	86	167
768	55	85	174
769	57	83	173
770	68	76	173
771	68	73	156
772	68	72	123
773	68	72	156
774	68	72	150
775	66	71	167
776	66	71	160
777	68	71	159
778	69	71	165
779	68	74	153
780	67	73	159
781	68	68	126
782	68	54	73
782	67	64	57	f
783	66	54	75
783	68	63	38	f
784	67	49	116
785	65	32	129
786	64	23	124
787	54	17	160
788	52	19	147
789	42	22	143
790	35	21	93
791	18	20	38
792	18	20	NP
793	18	20	NP
794	18	20	NP
795	24	17	47
796	25	17	43
797	25	17	31
798	25	17	NP
799	25	17	NP
800	25	16	68
801	24	16	67
802	23	17	59
803	23	17	50
804	23	15	90
805	26	17	124
806	33	18	143
807	43	15	172
808	39	16	150
809	37	17	145
