Slice	X	Y	AREA
0	0	0	NP
1	69	82	157
2	54	88	167
3	56	89	158
4	59	88	147
5	62	88	152
6	62	89	147
7	65	88	172
8	73	89	164
9	74	89	139
10	73	87	148
11	73	84	160
12	72	77	177
13	69	68	123
14	62	54	50
15	67	43	119
16	65	39	142
17	63	32	168
18	62	28	170
19	62	28	164
20	66	32	102
21	65	30	164
22	64	29	158
23	64	28	147
24	61	23	177
25	61	20	161
26	60	23	160
27	58	21	139
28	59	22	145
29	58	22	126
30	62	23	142
31	64	23	141
32	65	24	120
33	68	24	111
34	64	23	163
35	57	19	143
36	56	19	144
37	57	19	131
38	56	19	121
39	55	20	87
40	43	20	119
41	37	19	116
42	35	21	100
43	35	20	92
44	36	21	102
45	32	19	63
46	24	15	105
47	19	14	95
48	19	13	85
49	27	14	36
50	33	16	113
51	38	16	144
52	41	14	137
53	41	15	123
54	42	17	119
55	43	16	86
56	44	19	91
57	43	16	40
57	44	22	33	f
58	44	20	75
59	44	20	NP
60	43	16	99
61	41	15	119
62	39	18	131
63	37	18	124
64	32	22	89
65	18	35	54
65	23	26	33	f
66	16	38	149
67	17	42	162
68	20	50	173
69	21	64	175
70	24	81	170
71	25	83	160
72	27	84	121
73	27	83	118
74	28	83	111
74	41	89	37	f
75	29	84	96
75	41	86	45	f
76	43	86	89
76	32	85	52	f
77	40	84	159
78	42	86	77
78	32	86	47	f
79	42	89	94
79	32	86	49	f
80	45	90	154
81	55	91	153
82	60	92	151
83	59	91	144
84	60	92	159
85	60	91	155
86	59	91	161
87	64	85	164
88	68	78	165
89	67	74	175
90	68	74	158
91	69	78	143
92	64	83	181
93	59	87	174
94	59	87	177
95	60	87	160
96	61	87	150
97	61	88	155
98	60	86	158
99	55	89	171
100	52	90	151
101	50	88	177
102	49	87	162
103	48	86	133
104	47	86	106
105	47	86	94
106	47	86	94
107	47	87	115
108	46	89	140
109	48	88	138
110	54	89	154
111	54	89	156
112	55	89	161
113	55	87	138
114	55	87	160
115	57	85	177
116	64	78	182
117	67	70	154
118	68	56	42
118	68	63	36	f
119	66	41	108
120	64	34	151
121	64	27	151
122	61	24	150
123	59	21	139
124	56	19	90
125	44	16	157
126	35	15	155
127	38	17	148
128	38	17	132
129	35	16	148
130	28	15	132
131	24	14	131
132	24	15	102
133	24	14	89
134	26	15	102
135	30	17	97
136	35	15	138
137	39	14	152
138	41	14	115
139	42	14	105
140	40	15	112
141	39	13	98
142	39	18	113
143	38	18	150
144	28	14	141
145	21	13	152
146	23	13	104
147	22	13	65
148	22	13	NP
149	13	26	33
150	15	25	33
151	15	25	NP
152	15	25	NP
153	34	19	119
154	40	16	126
155	38	17	136
156	36	16	136
157	33	17	141
158	31	16	131
159	28	16	121
160	25	15	125
161	20	14	105
162	27	14	123
163	30	14	93
164	30	17	56
165	20	37	89
166	19	41	146
167	21	43	158
168	20	42	128
169	16	47	176
170	17	53	175
171	20	64	182
172	22	75	174
173	26	82	155
174	28	84	135
175	28	84	120
176	27	83	98
176	40	86	34	f
177	28	83	98
177	40	87	45	f
178	29	84	98
178	42	86	50	f
179	45	86	118
180	48	84	169
181	52	84	184
182	58	83	189
183	65	79	192
184	66	73	169
185	65	71	166
186	66	72	170
187	68	71	192
188	68	71	164
189	68	71	153
190	68	68	122
191	67	55	48
191	62	51	45	f
192	65	42	137
193	65	32	131
194	62	26	159
195	62	27	144
196	66	29	72
196	59	24	61	f
197	61	20	162
198	60	17	147
199	62	18	166
200	69	14	153
201	72	13	137
202	81	13	161
203	90	15	153
204	91	15	164
205	91	14	155
206	99	15	171
207	106	13	181
208	114	15	173
209	116	15	185
210	112	17	172
211	113	21	160
212	114	24	173
213	115	28	148
214	119	32	168
215	119	41	179
216	117	50	174
217	116	51	170
218	118	51	174
219	119	51	170
220	124	68	185
221	122	80	184
222	121	84	176
223	116	86	178
224	106	89	158
225	103	89	134
226	101	89	116
227	94	87	157
228	90	86	149
229	85	88	152
230	76	90	172
231	61	91	179
232	53	91	177
233	52	89	176
234	50	87	183
235	51	88	175
236	52	92	168
237	55	90	148
238	59	90	134
239	60	89	136
240	63	90	158
241	63	88	159
242	64	87	165
243	68	88	162
244	73	87	166
245	82	85	163
246	82	86	174
247	84	86	163
248	83	86	151
249	80	84	149
250	77	85	119
251	73	82	160
252	71	80	185
253	69	70	140
254	66	64	68
254	62	53	45	f
255	62	51	59
255	67	53	53	f
256	64	39	143
257	63	34	154
258	66	29	85
258	59	22	59	f
259	61	23	162
260	56	21	103
261	47	17	134
262	38	18	124
263	35	15	152
264	35	16	130
265	31	20	36
266	31	20	NP
267	31	20	NP
268	31	20	NP
269	31	19	31
270	30	18	35
271	19	34	34
272	18	38	115
273	19	40	142
274	21	45	147
275	20	46	142
276	19	45	136
277	16	49	192
278	15	54	178
279	16	63	173
280	20	74	175
281	24	81	178
282	28	83	128
283	28	84	113
284	28	84	98
285	31	86	73
285	42	89	71	f
286	44	91	147
287	40	88	147
288	44	86	143
289	49	85	177
290	54	84	190
291	65	80	183
292	67	82	163
293	73	83	180
294	82	85	162
295	84	85	154
296	84	84	156
297	84	85	147
298	83	85	143
299	84	87	173
300	84	88	155
301	84	88	152
302	81	86	141
303	81	84	152
304	82	84	166
305	81	85	147
306	77	86	142
307	75	84	180
308	71	76	163
309	68	70	138
310	66	65	86
311	67	42	92
312	67	35	112
313	66	32	108
314	64	30	156
315	64	28	146
316	64	25	126
317	61	20	140
318	58	19	140
319	55	17	108
320	47	17	122
321	40	20	127
322	34	20	95
323	34	19	94
324	33	20	89
325	34	20	102
326	32	17	144
327	30	16	148
328	32	18	122
329	36	19	127
330	40	17	127
331	41	15	102
332	51	13	157
333	52	14	154
334	55	15	146
335	58	15	149
336	61	14	178
337	68	13	168
338	71	13	153
339	69	14	160
340	70	18	152
341	71	19	165
342	71	21	155
343	73	30	157
344	72	42	140
345	71	48	127
346	70	50	114
347	69	50	112
