Slice	X	Y	AREA
0	0	0	NP
1	85	93	147
2	85	93	148
3	85	93	144
4	85	93	147
5	85	92	135
6	85	92	134
7	85	92	143
8	85	92	137
9	85	92	141
10	85	92	139
11	85	92	142
12	85	93	141
13	84	93	151
14	85	93	146
15	85	93	140
16	85	93	139
17	85	93	140
18	84	93	157
19	85	92	145
20	85	92	142
21	85	92	151
22	85	92	146
23	84	92	148
24	84	92	151
25	84	92	156
26	84	92	154
27	84	92	148
28	85	92	154
29	83	92	154
30	84	93	160
31	84	92	150
32	85	92	158
33	84	91	154
34	84	91	158
35	84	91	156
36	84	91	149
37	84	91	147
38	84	91	152
39	84	92	156
40	83	92	162
41	83	92	162
42	83	92	159
43	83	92	156
44	84	92	148
45	84	92	145
46	84	92	149
47	84	92	143
48	84	92	146
49	84	92	148
50	84	92	147
51	84	92	147
52	84	92	147
53	84	92	151
54	84	92	151
55	84	92	151
56	84	92	152
57	84	92	152
58	84	92	154
59	84	92	151
60	85	92	149
61	84	92	151
62	84	92	151
63	84	92	155
64	84	92	154
65	84	92	154
66	84	92	157
67	84	92	155
68	84	92	158
69	84	92	158
70	84	92	156
71	83	92	159
72	83	92	164
73	83	92	162
74	83	92	163
75	84	93	154
76	84	93	163
77	81	93	169
78	68	93	192
79	56	92	179
80	53	93	171
81	53	93	179
82	49	91	157
83	45	88	157
84	45	88	149
85	45	88	143
86	46	89	133
87	46	90	141
88	46	90	142
89	46	90	157
90	46	90	145
91	46	90	146
92	46	89	144
93	48	88	162
94	51	87	152
95	56	86	162
96	68	86	174
97	81	86	172
98	83	87	161
99	84	88	167
100	83	87	159
101	82	88	169
102	80	87	138
103	81	87	159
104	84	86	153
105	87	86	151
106	86	86	145
107	87	87	157
108	86	87	148
109	87	87	157
110	86	85	142
111	85	85	149
112	85	84	149
113	85	85	138
114	85	85	154
115	88	88	149
116	89	88	144
117	88	89	146
118	86	92	136
119	86	92	143
120	86	92	141
121	87	92	137
122	86	92	130
123	86	92	139
124	86	92	142
125	85	92	143
126	85	92	143
127	85	92	144
128	85	92	142
129	87	92	139
130	87	92	139
131	86	91	150
132	86	91	125
133	85	92	143
134	83	93	144
135	81	93	179
136	80	93	161
137	74	93	174
138	69	92	159
139	62	92	157
140	59	92	159
141	53	93	178
142	52	93	157
143	49	91	165
144	46	88	147
145	47	89	147
146	47	90	154
147	49	90	167
148	51	91	173
149	50	91	157
150	51	91	160
151	55	91	175
152	61	91	180
153	68	90	176
154	77	87	183
155	83	87	159
156	85	88	165
157	85	88	164
158	85	88	152
159	87	89	150
160	87	89	152
161	85	87	141
162	85	88	161
163	86	88	160
164	86	88	155
165	86	89	153
166	86	89	160
167	85	88	144
168	86	86	140
169	86	86	156
170	86	86	155
171	86	85	149
172	86	85	150
173	86	85	144
174	86	85	139
175	87	86	143
176	90	87	139
177	89	89	136
178	88	89	139
179	88	88	140
180	88	88	151
181	87	89	149
182	87	88	151
183	87	89	154
184	87	88	153
185	87	88	155
186	87	88	155
187	88	89	147
188	87	89	156
189	87	91	154
190	85	93	150
191	86	93	142
192	85	93	146
193	85	92	147
194	85	92	147
195	85	92	151
196	85	92	153
197	85	92	154
198	85	92	150
199	85	92	147
200	85	92	150
201	85	92	151
202	85	92	151
203	85	92	154
204	85	92	153
205	85	92	147
206	85	92	154
207	85	92	154
208	85	92	154
209	85	92	154
210	85	92	150
211	85	92	149
212	85	92	148
213	84	92	147
214	84	92	145
215	84	92	146
216	84	92	141
217	85	93	140
218	85	93	144
219	85	93	145
220	86	92	139
221	85	92	142
222	85	92	138
223	85	92	141
224	85	92	140
225	85	92	141
226	84	91	144
227	84	91	144
228	85	92	142
229	85	91	146
230	85	91	144
231	85	91	149
232	86	91	158
233	86	90	152
234	86	89	152
235	88	88	174
236	88	88	156
237	87	88	148
238	87	87	153
239	86	87	159
240	85	87	171
241	85	87	171
242	80	87	182
243	73	87	175
244	62	90	171
245	57	91	181
246	52	93	154
247	49	88	151
248	46	87	144
249	46	86	136
250	46	86	141
251	47	86	147
252	46	87	149
253	46	87	143
254	46	87	144
255	46	86	149
256	46	87	153
257	46	87	151
258	47	86	153
259	52	82	157
260	54	82	185
261	57	82	168
262	57	82	167
263	64	77	176
264	66	69	149
265	67	68	134
266	69	66	82
266	72	55	65	f
267	69	53	90
267	69	65	77	f
268	69	65	78
268	68	54	73	f
269	70	66	98
269	68	55	68	f
270	69	67	110
270	68	57	37	f
271	68	63	164
272	68	53	98
272	68	65	69	f
273	68	53	94
273	69	64	63	f
274	69	49	154
275	71	43	174
276	71	44	140
277	69	40	172
278	67	37	171
279	68	39	141
280	68	39	134
281	67	37	160
282	67	35	158
283	66	35	176
284	66	34	180
285	67	36	164
286	67	33	172
287	70	30	191
288	73	29	177
289	73	29	169
290	74	27	172
291	72	26	165
292	70	24	188
293	69	24	193
294	70	29	170
295	71	30	179
296	72	28	183
297	75	26	188
298	75	26	193
299	71	27	197
300	68	22	182
301	64	19	189
302	65	20	190
303	69	20	177
304	72	17	164
305	76	16	179
306	82	15	182
307	91	13	153
308	94	14	162
309	102	15	144
310	100	14	83
311	100	14	NP
312	100	14	NP
313	100	14	NP
314	103	13	36
315	115	20	81
316	112	22	124
317	112	23	130
318	113	22	131
319	117	24	174
320	119	28	177
321	122	36	175
322	123	42	191
323	124	53	197
324	123	63	189
325	119	69	192
326	115	80	186
327	116	84	174
328	117	86	174
329	118	87	172
330	118	87	179
331	118	87	186
332	118	87	183
333	118	87	184
334	118	86	167
335	116	85	169
336	112	87	182
337	107	91	171
338	105	91	147
339	101	92	122
339	90	89	54	f
340	91	90	168
341	80	91	185
342	70	92	175
343	53	93	181
344	52	92	171
345	49	88	164
346	48	88	150
347	48	87	149
348	48	87	153
349	48	87	150
350	50	86	138
351	55	86	160
352	65	81	173
353	66	82	163
354	67	82	168
355	67	82	171
356	66	82	173
357	67	83	186
358	67	83	179
359	67	82	178
360	67	82	171
361	67	82	159
362	67	83	175
363	68	86	183
364	73	89	180
365	76	91	178
366	80	92	194
367	80	92	199
368	82	92	186
369	83	91	154
370	83	92	160
371	83	91	156
372	83	91	160
373	84	91	165
374	84	92	172
375	84	91	177
376	84	92	175
377	83	89	168
378	85	87	164
379	85	87	149
380	85	87	157
381	85	87	158
382	84	86	159
383	81	86	167
384	75	81	189
385	69	79	170
386	69	80	176
387	67	80	199
388	61	82	195
389	52	88	177
390	51	89	157
391	46	88	154
392	47	87	148
393	46	87	153
394	46	88	148
395	46	89	139
396	47	89	145
397	47	90	146
398	47	88	159
399	47	88	158
400	46	89	158
401	46	88	168
402	46	88	166
403	46	88	166
404	46	88	169
405	47	89	152
406	48	88	166
407	49	87	157
408	51	84	147
409	56	83	172
410	65	84	170
411	76	84	174
412	83	87	174
413	83	87	170
414	84	87	147
415	84	85	142
416	84	84	160
417	85	84	161
418	85	84	164
419	85	84	163
420	85	85	142
421	88	85	146
422	89	86	150
423	89	87	148
424	88	87	155
425	88	87	152
426	88	87	155
427	87	88	158
428	82	91	168
429	76	91	151
430	64	92	167
431	56	93	172
432	51	92	139
433	51	93	156
434	51	93	154
435	50	93	146
436	51	93	151
437	51	93	155
438	51	93	158
439	52	92	160
440	50	90	154
441	46	88	136
442	46	88	145
443	47	88	153
444	47	88	155
445	48	87	154
446	48	87	159
447	48	87	154
448	50	84	149
449	52	84	157
450	54	83	158
451	57	83	173
452	63	79	187
