Slice	X	Y	AREA
0	0	0	NP
1	55	87	186
2	54	88	181
3	53	87	172
4	54	86	160
5	55	83	161
6	60	81	182
7	68	74	165
8	69	71	156
9	67	71	150
10	67	71	136
11	67	71	145
12	67	70	136
13	67	67	110
14	67	67	105
15	68	67	97
16	67	66	91
17	67	66	87
17	66	54	58	f
18	68	51	130
19	70	46	153
20	69	42	152
21	68	33	154
22	65	29	172
23	66	28	137
24	66	28	137
25	67	28	148
26	70	27	159
27	72	26	140
28	74	23	124
29	74	22	139
30	70	20	168
31	66	18	177
32	65	20	166
33	65	20	160
34	65	20	155
35	65	20	155
36	67	19	142
37	63	18	145
38	63	17	155
39	63	17	143
40	67	17	144
41	70	16	136
42	79	16	149
43	81	17	134
44	84	16	134
45	85	17	155
46	92	19	161
47	104	22	179
48	110	24	168
49	111	24	179
50	109	24	148
51	114	25	161
52	115	26	157
53	117	28	158
54	118	29	149
55	117	28	134
56	116	27	116
57	117	26	131
58	116	26	132
59	116	26	121
60	117	26	136
61	116	29	148
62	117	35	144
63	116	45	165
64	116	59	166
65	115	70	180
66	114	74	168
67	113	79	173
68	106	86	173
69	104	88	145
70	103	88	132
71	99	88	153
72	94	87	156
73	88	86	128
74	88	85	140
75	88	85	106
76	92	86	118
77	91	86	122
78	90	88	125
79	75	88	164
80	63	85	160
81	63	85	160
82	64	85	132
83	65	82	160
84	64	74	157
85	66	72	161
86	66	73	154
87	66	75	143
88	65	78	134
89	64	79	148
90	64	79	144
91	61	81	161
92	52	86	161
93	52	86	153
94	52	86	149
95	52	86	152
96	51	86	150
97	51	85	149
98	51	85	158
99	51	85	156
100	52	85	171
101	53	84	177
102	52	84	171
103	52	84	182
104	52	84	181
105	52	84	184
106	53	84	175
107	52	85	176
108	52	85	178
109	53	84	178
110	56	84	161
111	56	85	159
112	56	85	149
113	55	84	154
114	51	85	159
115	52	85	153
116	50	85	144
117	49	85	146
118	51	86	132
119	51	84	146
120	53	83	159
121	58	82	156
122	66	77	162
123	68	74	151
124	68	75	146
125	69	77	144
126	69	78	155
127	68	77	135
128	69	77	132
129	69	77	119
130	65	77	114
131	66	74	159
132	67	71	144
133	68	69	128
134	67	68	114
135	67	67	113
136	67	67	108
137	67	67	110
138	68	67	111
139	67	67	105
140	68	53	98
140	67	63	34	f
141	67	47	147
142	66	35	131
143	64	29	148
144	59	23	154
145	58	19	153
146	57	19	145
147	57	19	142
148	55	19	109
149	56	19	100
150	55	19	96
151	56	19	89
152	56	19	89
153	55	19	93
154	42	15	69
154	54	18	69	f
155	40	17	86
156	39	17	91
157	38	17	79
158	38	17	83
159	38	17	88
160	38	18	86
161	38	18	82
162	38	18	87
163	37	18	76
163	22	17	35	f
164	37	18	76
164	23	16	48	f
165	23	15	82
165	36	18	56	f
166	19	18	104
167	19	18	146
168	18	20	138
169	18	21	126
170	19	22	108
171	18	24	75
171	17	33	51	f
172	19	36	105
172	17	26	34	f
173	18	40	150
174	21	50	155
175	22	60	157
176	22	70	159
177	22	76	153
178	22	77	155
179	23	78	158
180	26	82	159
181	29	86	129
182	34	89	150
183	35	89	148
184	33	89	110
185	33	89	108
186	35	89	142
187	43	89	78
187	33	89	59	f
188	43	88	144
189	48	85	166
190	55	83	151
191	60	81	169
192	68	74	170
193	68	73	177
194	69	71	140
195	69	71	137
196	68	70	144
197	69	70	146
198	69	70	146
199	69	70	152
200	70	70	155
201	69	70	152
202	69	70	143
203	69	70	152
204	70	68	130
205	70	68	120
206	70	68	122
207	70	66	108
208	67	51	131
209	67	44	137
210	69	39	159
211	70	33	150
212	74	22	150
213	75	20	132
214	75	20	139
215	76	19	149
216	76	19	148
217	74	21	153
218	71	21	154
219	63	18	167
220	59	18	147
221	59	18	135
222	58	17	132
223	51	16	146
224	51	15	142
225	55	16	93
226	55	16	106
227	55	16	112
228	56	17	97
229	58	17	138
230	59	17	141
231	60	17	148
232	63	19	159
233	67	32	154
234	69	41	147
235	71	49	137
236	71	50	121
237	71	51	118
238	70	51	124
239	71	51	134
240	70	51	126
241	70	51	143
242	69	51	132
243	70	51	131
244	70	50	123
245	70	51	125
246	68	53	121
247	68	53	120
248	70	52	116
249	69	51	110
250	66	50	86
251	65	41	90
251	61	45	36	f
252	64	33	141
253	69	24	155
254	72	21	136
255	71	21	145
256	71	20	148
257	71	21	142
258	71	20	148
259	66	19	148
260	61	18	148
261	58	17	122
262	57	17	107
263	57	17	113
264	56	17	116
265	55	16	96
266	56	16	114
267	56	16	123
268	56	16	128
269	57	15	128
270	57	16	127
271	57	17	126
272	57	17	120
273	57	17	104
274	57	17	118
275	57	17	119
276	56	17	120
277	56	17	119
278	56	17	113
279	56	17	107
280	57	17	106
281	57	17	115
282	55	18	85
283	41	23	67
283	53	18	46	f
284	53	18	49
284	42	22	49	f
285	53	18	51
285	41	21	47	f
286	53	18	50
286	42	24	46	f
287	54	18	55
287	44	24	30	f
288	54	17	77
289	54	16	79
290	54	16	91
291	55	16	103
292	56	17	110
293	56	17	112
294	59	17	142
295	62	23	147
296	66	30	126
297	68	37	131
298	70	44	127
299	70	51	122
300	68	53	123
301	69	52	109
302	69	52	116
303	70	51	104
304	70	52	128
305	70	52	127
306	69	53	126
307	70	52	123
308	70	52	112
309	70	53	119
310	69	53	112
311	69	56	91
312	68	55	97
313	68	53	108
314	67	52	119
315	67	50	130
316	68	50	118
317	69	49	130
318	68	47	129
319	68	48	136
320	68	48	138
321	68	48	140
322	68	48	137
323	68	48	136
324	68	48	136
325	68	45	123
326	68	45	125
327	67	44	103
328	67	45	93
328	60	38	30	f
329	67	44	102
329	60	37	31	f
330	67	43	100
331	66	37	100
332	66	34	118
333	69	28	156
334	72	25	153
335	74	23	153
336	75	22	154
337	75	22	145
338	75	21	150
339	75	20	158
340	75	20	153
341	75	22	139
342	74	23	117
343	74	23	126
344	74	23	122
345	73	24	129
346	73	24	133
347	73	21	153
348	73	21	146
349	74	21	161
350	74	20	155
351	71	21	165
352	70	18	145
353	68	20	170
354	63	20	162
355	63	20	166
356	67	20	119
357	67	23	140
358	66	31	119
359	67	37	142
360	66	45	107
361	67	50	121
362	67	51	109
363	67	51	114
364	67	51	107
365	68	51	105
366	68	50	101
367	68	50	98
368	68	50	95
369	69	50	93
370	66	49	69
370	60	44	58	f
371	66	45	74
371	60	49	38	f
372	66	44	87
373	66	44	94
374	66	45	77
375	66	44	93
376	66	42	98
377	66	42	78
378	66	41	94
379	67	41	104
380	67	39	111
381	69	38	132
382	69	39	131
383	68	39	127
384	67	38	142
385	66	36	126
386	66	36	112
387	64	32	117
388	63	29	147
389	62	27	161
390	58	22	152
391	60	22	130
392	59	20	116
393	60	20	121
394	60	20	110
395	65	16	159
396	69	13	148
397	69	14	129
398	69	14	133
399	70	16	156
400	71	19	168
401	70	18	154
402	72	19	155
403	72	19	151
404	72	19	149
405	72	19	146
406	72	19	145
407	72	18	144
408	71	19	138
409	70	21	169
410	69	23	158
411	66	23	150
412	65	23	158
413	65	22	155
414	64	22	163
415	64	22	156
416	64	22	161
417	64	22	161
418	64	22	157
419	63	21	163
420	65	22	159
421	65	22	152
422	68	21	132
423	70	24	139
424	71	33	150
425	72	41	134
426	72	48	134
427	72	48	134
428	72	48	127
429	72	47	113
430	72	46	100
431	72	49	130
432	72	49	146
433	72	49	141
434	71	47	141
435	69	50	116
436	68	52	103
437	68	52	104
438	68	52	103
439	68	52	110
440	68	52	106
441	69	52	106
442	66	48	93
443	66	42	78
443	60	46	32	f
444	66	44	65
444	61	47	30	f
445	66	43	71
446	66	44	65
447	66	43	61
447	60	47	37	f
448	66	44	68
449	66	44	65
449	60	48	30	f
450	66	44	64
451	66	44	65
452	65	44	63
453	65	44	61
454	65	44	56
454	60	47	34	f
455	65	43	57
456	65	44	58
457	65	43	62
457	60	47	34	f
458	65	43	63
459	65	44	59
459	60	47	31	f
460	65	43	59
461	65	43	60
462	65	44	59
462	60	47	34	f
463	65	44	62
464	65	44	62
465	66	44	66
466	65	44	59
466	60	47	31	f
467	65	44	59
467	60	47	31	f
468	65	44	59
468	60	48	34	f
469	66	44	52
469	60	47	37	f
470	66	44	57
471	66	44	58
471	60	48	35	f
472	66	44	64
472	60	48	41	f
473	66	44	61
474	66	44	64
474	61	48	30	f
475	66	44	65
476	66	44	65
477	66	44	64
477	60	48	41	f
478	66	44	64
478	60	48	41	f
479	65	44	59
480	65	44	62
481	65	44	65
481	60	47	37	f
482	65	44	65
482	60	47	37	f
483	66	44	66
483	60	47	32	f
484	66	44	65
485	66	44	64
486	66	44	64
487	66	44	64
488	60	47	37
488	65	44	33	f
489	65	44	59
489	60	47	37	f
490	65	44	62
491	65	44	67
491	60	47	37	f
492	65	44	62
493	65	44	62
493	60	47	37	f
494	65	43	56
494	60	47	37	f
495	65	45	44
495	60	47	37	f
496	60	43	65
496	65	45	45	f
497	66	46	52
497	60	47	38	f
498	66	45	56
498	60	46	34	f
499	66	44	74
499	60	47	38	f
500	67	43	74
500	60	47	37	f
501	67	43	78
501	60	46	34	f
502	67	42	88
503	67	42	87
504	67	42	99
505	67	42	91
506	67	42	97
507	67	43	90
508	66	42	72
508	60	47	30	f
509	66	43	81
510	66	43	75
510	60	47	34	f
511	66	44	66
511	60	47	34	f
512	66	43	58
512	60	47	34	f
513	66	43	75
514	66	43	63
514	60	47	34	f
515	66	44	70
516	66	44	71
517	65	44	59
518	66	43	66
519	66	44	72
520	66	44	70
521	66	44	70
522	66	44	70
522	60	48	30	f
523	66	44	71
524	66	43	73
525	66	44	71
526	66	43	75
527	66	43	75
527	60	47	34	f
528	66	44	70
528	60	47	34	f
529	66	44	74
529	60	47	34	f
530	66	43	75
530	60	47	34	f
531	66	44	74
531	60	47	34	f
532	66	44	70
532	60	47	34	f
533	66	44	72
533	60	47	34	f
534	67	43	60
534	60	47	34	f
535	65	45	45
535	60	47	34	f
536	66	42	41
536	60	47	34	f
537	65	45	53
537	60	47	33	f
538	65	45	46
538	60	47	37	f
539	66	45	44
539	60	46	41	f
540	60	44	62
540	66	44	36	f
541	66	45	55
541	60	46	37	f
542	66	43	78
542	60	47	38	f
543	66	42	78
543	60	46	35	f
544	66	42	81
544	60	46	33	f
545	66	42	82
546	66	43	74
546	60	46	30	f
547	66	42	87
548	66	42	84
549	66	42	83
550	66	42	86
551	66	42	87
552	66	42	87
552	60	46	30	f
553	66	42	90
554	66	42	90
554	60	46	30	f
555	66	42	90
555	60	46	30	f
